id,averageRating,numVotes,titleType,startYear
0,1.8,12,tvEpisode,2014
1,8.8,5,tvEpisode,2020
2,8.5,35,video,2006
3,4.3,11,short,2016
4,7.4,10,tvEpisode,2014
5,6.6,5,tvEpisode,1986
6,8.0,22,tvEpisode,2008
7,7.2,6,movie,1962
8,5.9,219,short,2002
9,6.8,7,video,2018
10,7.9,619,tvEpisode,2010
11,7.6,55,video,2007
12,7.5,10,tvEpisode,2017
13,6.8,13,tvEpisode,2019
14,4.6,7,movie,2012
15,8.4,2814,tvSeries,1971
16,7.6,21,tvEpisode,1994
17,6.9,2249,movie,1990
18,7.2,260,movie,2020
19,4.8,561,movie,1973
20,6.2,155,short,1935
21,8.0,5,tvEpisode,2016
22,7.2,6,tvEpisode,2020
23,4.8,35,movie,1993
24,6.0,5,tvEpisode,1955
25,7.7,7,tvMovie,2012
26,7.9,8,tvEpisode,1993
27,6.8,12,tvMovie,1978
28,6.3,11,tvEpisode,1998
29,4.5,27,movie,1969
30,7.8,24,tvEpisode,1984
31,8.7,1029,tvEpisode,2011
32,7.0,81,tvEpisode,2004
33,8.7,15,video,2019
34,5.3,487,movie,2019
35,7.0,5,short,2014
36,5.4,11,tvMovie,1984
37,8.8,12,tvSeries,2012
38,8.2,221,tvEpisode,1970
39,3.4,289,movie,2003
40,3.8,71,movie,1973
41,8.1,7,tvEpisode,2018
42,7.1,15,tvEpisode,2016
43,7.8,13,tvEpisode,2019
44,7.0,75,movie,1980
45,6.9,16,movie,2012
46,6.8,11,movie,1977
47,3.0,6,tvEpisode,2007
48,5.0,5,short,2013
49,5.8,12,movie,2011
50,6.0,254,movie,2018
51,6.0,5,movie,1986
52,5.2,5,tvEpisode,2019
53,8.0,5,tvEpisode,2011
54,2.3,10,video,1995
55,7.3,79,tvEpisode,2003
56,9.4,5,tvEpisode,2004
57,5.7,7,tvMovie,1984
58,8.7,54,short,1971
59,5.8,12,short,2016
60,6.8,26,tvEpisode,2006
61,7.6,26,movie,1976
62,5.8,12,tvEpisode,2005
63,7.6,239,tvMiniSeries,2018
64,5.1,9,short,1896
65,5.1,163,short,1916
66,6.6,20,tvEpisode,2014
67,8.5,141,tvEpisode,2016
68,8.4,11,tvEpisode,1978
69,8.5,25,tvEpisode,2021
70,7.0,5,tvEpisode,1986
71,6.0,269,movie,2017
72,7.7,47,tvSeries,1998
73,5.1,17,short,1963
74,5.1,12,movie,1987
75,7.6,40,tvEpisode,1985
76,6.6,25,movie,1921
77,7.6,14,tvEpisode,2013
78,7.3,18,tvEpisode,2002
79,8.2,6,tvEpisode,2016
80,7.6,51,tvEpisode,2020
81,5.8,27,movie,2000
82,7.8,12,video,2021
83,8.2,71,tvEpisode,2014
84,7.0,128,short,2006
85,5.3,144,short,1943
86,8.2,62,tvEpisode,2002
87,8.6,29,tvEpisode,2007
88,6.5,25,short,2020
89,6.5,6,tvEpisode,1991
90,8.5,242,tvEpisode,2014
91,7.8,164,movie,1981
92,8.0,8,tvEpisode,1974
93,6.2,9,movie,1918
94,7.8,338,tvEpisode,1999
95,5.0,9,short,2018
96,9.7,47,tvEpisode,2021
97,8.0,252,tvEpisode,2007
98,8.5,46,tvEpisode,2011
99,5.0,30,movie,1944
100,7.5,14,tvEpisode,2016
101,8.8,9,short,2006
102,8.1,20,tvEpisode,2011
103,5.6,8,short,2017
104,7.0,6648,movie,2021
105,5.8,627,movie,2010
106,9.0,9,tvEpisode,2017
107,7.4,16,tvEpisode,1976
108,7.5,12,tvSpecial,1995
109,6.3,19,short,2010
110,8.0,9,tvEpisode,2011
111,8.3,15,tvEpisode,1955
112,6.8,200,movie,2006
113,6.1,7,tvEpisode,1996
114,7.2,58,tvEpisode,1989
115,6.9,17,tvEpisode,1988
116,4.7,13,movie,1923
117,6.2,5,tvEpisode,2014
118,8.6,13,short,2016
119,6.4,17,tvEpisode,1997
120,7.1,140,tvEpisode,2020
121,7.5,8,tvEpisode,2016
122,7.7,168,tvEpisode,2019
123,5.3,75,movie,1957
124,5.7,28,short,1972
125,7.1,15,tvEpisode,2009
126,7.7,78,tvMovie,1995
127,7.8,150,tvEpisode,2018
128,6.6,569,movie,1939
129,4.8,8,short,1899
130,6.2,158,tvEpisode,2019
131,7.0,6,tvEpisode,2002
132,8.2,11,tvEpisode,2015
133,5.0,30,movie,2007
134,6.5,162,movie,2003
135,7.6,131,tvEpisode,1990
136,6.7,41,movie,1970
137,7.8,6,tvEpisode,1987
138,6.2,340,tvEpisode,1994
139,7.0,7,tvSeries,2009
140,5.6,18,tvMovie,2007
141,9.0,6,tvEpisode,1963
142,8.5,6,tvEpisode,2019
143,6.5,9,tvEpisode,2002
144,3.7,6,movie,2009
145,8.2,95,tvEpisode,2020
146,8.7,22,tvEpisode,2019
147,5.7,13,tvEpisode,2017
148,5.9,14,tvEpisode,1989
149,7.5,145,video,2006
150,7.7,7,tvEpisode,2016
151,8.6,10,video,1995
152,6.3,7,movie,2019
153,8.3,667,tvEpisode,2020
154,7.8,38,tvSpecial,1976
155,8.2,137,tvMovie,1997
156,6.4,51,short,2006
157,8.6,8,tvEpisode,2014
158,6.0,5,tvEpisode,2011
159,7.6,18,tvEpisode,2010
160,7.3,335,tvMovie,1991
161,6.6,5,short,2016
162,7.7,6,tvEpisode,2018
163,8.1,13,tvEpisode,2014
164,7.8,555,tvEpisode,1999
165,6.7,33,tvEpisode,2020
166,6.3,234,movie,1981
167,7.6,28,tvEpisode,1994
168,8.4,6,tvEpisode,2008
169,6.6,9,tvSeries,2011
170,6.8,456,movie,1960
